x,y,z,mhh,mvv,mhv
2.61905,10,0.487805,1312.65,-10580.6,1027.61
3.09524,10,0.487805,6172.46,7652.17,-1919.73
3.57143,10,0.487805,3811.07,561.075,1099.08
4.04762,10,0.487805,2491.94,-5666.47,-394.457
4.52381,10,0.487805,7382.8,12365,489.049
5,10,0.487805,637.496,-12495.8,-1.51419e-09
5.47619,10,0.487805,7382.8,12365,-489.049
5.95238,10,0.487805,2491.94,-5666.47,394.457
6.42857,10,0.487805,3811.07,561.075,-1099.08
6.90476,10,0.487805,6172.46,7652.17,1919.73
7.38095,10,0.487805,1312.65,-10580.6,-1027.61
7.85714,10,0.487805,7549.64,13887.2,-326.835
8.33333,10,0.487805,1189.93,-10335.4,631.02
8.80952,10,0.487805,5382.47,7142.41,-1188.54
9.28571,10,0.487805,3838.62,1628.7,1351.82
9.7619,10,0.487805,50.3159,-2506.01,-544.414
10,9.7619,0.487805,50.3159,-2506.01,544.414
10,9.28571,0.487805,3838.62,1628.7,-1351.82
10,8.80952,0.487805,5382.47,7142.41,1188.54
10,8.33333,0.487805,1189.93,-10335.4,-631.02
10,7.85714,0.487805,7549.64,13887.2,326.835
10,7.38095,0.487805,1312.65,-10580.6,1027.61
10,6.90476,0.487805,6172.46,7652.17,-1919.73
10,6.42857,0.487805,3811.07,561.075,1099.08
10,5.95238,0.487805,2491.94,-5666.47,-394.457
10,5.47619,0.487805,7382.8,12365,489.049
10,5,0.487805,637.496,-12495.8,-4.02758e-09
10,4.52381,0.487805,7382.8,12365,-489.049
10,4.04762,0.487805,2491.94,-5666.47,394.457
10,3.57143,0.487805,3811.07,561.075,-1099.08
10,3.09524,0.487805,6172.46,7652.17,1919.73
10,2.61905,0.487805,1312.65,-10580.6,-1027.61
10,2.14286,0.487805,7549.64,13887.2,-326.835
10,1.66667,0.487805,1189.93,-10335.4,631.02
10,1.19048,0.487805,5382.47,7142.41,-1188.54
10,0.714286,0.487805,3838.62,1628.7,1351.82
10,0.238095,0.487805,50.3159,-2506.01,-544.414
9.7619,0,0.487805,50.3159,-2506.01,544.414
9.28571,0,0.487805,3838.62,1628.7,-1351.82
8.80952,0,0.487805,5382.47,7142.41,1188.54
8.33333,0,0.487805,1189.93,-10335.4,-631.02
7.85714,0,0.487805,7549.64,13887.2,326.835
7.38095,0,0.487805,1312.65,-10580.6,1027.61
6.90476,0,0.487805,6172.46,7652.17,-1919.73
6.42857,0,0.487805,3811.07,561.075,1099.08
5.95238,0,0.487805,2491.94,-5666.47,-394.457
5.47619,0,0.487805,7382.8,12365,489.049
5,0,0.487805,637.496,-12495.8,-4.57499e-09
4.52381,0,0.487805,7382.8,12365,-489.049
4.04762,0,0.487805,2491.94,-5666.47,394.457
3.57143,0,0.487805,3811.07,561.075,-1099.08
3.09524,0,0.487805,6172.46,7652.17,1919.73
2.61905,0,0.487805,1312.65,-10580.6,-1027.61
2.14286,0,0.487805,7549.64,13887.2,-326.835
1.66667,0,0.487805,1189.93,-10335.4,631.02
1.19048,0,0.487805,5382.47,7142.41,-1188.54
